team,rank
Zagreb360,T6
Thirteen,T6
RvN,T6
FIREMIX,T6
AdskiyRazgon,T5
Viva Algeria,T5
NOORG,T5
MOLLIHblE,T5
COMIX,T6
juicey,T5
Vilay,T5
BTRG.HK,T6
Chosen5,T5
RMU,T5
Absolute,T5
Rejected,T5
London,T5
beastm0de,T6
Booty Duty,T6
Ten Gallon Terrors,T6
Queso,T5
Turma do Pagode,T5
2019,T5
Slovakia,T6
HARDNEJA,T5
Locastic,T5
RedFear,T6
Reign,T5
Masked,T5
ex-Royal Bandits,T5
