match_id,team_name,kills,headshots,assists,flash_assists,deaths,kd_ratio,kd_diff,adr,fk_dif,rating,tier
65487,HEY,13.0,13.0,5.4,2.2,0.2,20.2,60.8,-7.2,63.1,-1.8,T6
65487,Space Jam,20.0,20.0,10.0,3.4,0.6,13.0,83.2,7.0,83.9,1.8,T6
65488,Royal Bandits,20.2,20.2,11.4,4.6,0.6,17.2,74.8,3.0,79.1,-1.8,T6
65489,Kinguin,16.0,16.0,7.4,3.4,1.8,18.8,64.6,-2.8,69.1,0.4,T4
65489,Singularity,18.8,18.8,7.6,6.2,2.2,16.0,77.7,2.8,76.5,-0.4,T4
65490,Quantum Bellator Fire,19.4,19.4,7.6,5.4,1.0,14.6,70.8,4.8,79.4,2.0,T6
65490,ALTERNATE aTTaX,14.6,14.6,6.0,3.2,1.0,19.4,56.9,-4.8,67.3,-2.0,T4
65491,Royal Bandits,21.8,21.8,9.6,4.8,0.8,17.2,76.3,4.6,84.7,0.2,T6
65492,Kinguin,19.6,19.6,10.8,4.6,0.8,17.0,75.4,2.6,82.6,-0.4,T4
65492,Singularity,17.0,17.0,6.0,5.0,1.0,19.6,67.7,-2.6,72.4,0.4,T4
65493,HEY,17.6,17.6,7.6,4.2,0.6,14.2,75.0,3.4,79.0,0.4,T6
65493,Space Jam,14.2,14.2,6.6,3.6,0.8,17.6,60.0,-3.4,67.6,-0.4,T6
65494,HEY,10.2,10.2,5.6,2.2,1.0,18.2,47.6,-8.0,58.0,-1.4,T6
65494,Space Jam,18.2,18.2,8.4,4.0,0.4,10.2,79.1,8.0,89.7,1.4,T6
65495,Rogue,21.0,21.0,9.0,5.2,1.8,17.8,75.7,3.2,81.7,-0.4,T4
65495,TeamOne,17.8,17.8,7.4,5.0,0.8,21.0,62.1,-3.2,73.0,0.4,T4
65496,Rogue,17.8,17.8,8.8,5.0,0.6,11.0,85.0,6.8,91.5,2.0,T4
65496,TeamOne,11.0,11.0,4.8,3.2,1.2,17.8,59.0,-6.8,61.0,-2.0,T4
65497,INTZ,9.6,9.6,4.6,3.2,0.2,17.2,50.5,-7.6,58.7,-2.2,T4
65497,C4,17.2,17.2,7.2,4.0,1.4,9.6,83.2,7.6,94.4,2.2,T6
65498,Sharks,16.8,16.8,6.2,5.4,0.4,6.8,95.5,10.0,93.5,2.4,T4
65499,INTZ,15.2,15.2,6.2,3.2,0.4,18.6,60.7,-3.4,66.5,-2.0,T4
65499,C4,18.6,18.6,5.8,5.0,0.4,15.2,70.0,3.4,75.9,2.0,T6
65500,Sharks,21.4,21.4,8.2,5.8,1.0,15.2,80.8,6.2,84.9,1.0,T4
65501,eUnited,20.0,20.0,8.4,5.0,0.8,17.4,70.7,2.6,77.7,0.8,T4
65501,Dignitas,17.4,17.4,7.6,3.4,0.6,20.2,62.1,-2.8,70.4,-0.8,T6
65502,eUnited,18.6,18.6,8.4,5.2,1.4,16.0,73.1,2.6,75.9,-0.4,T4
65502,Dignitas,16.0,16.0,6.2,3.8,0.2,18.6,64.6,-2.6,70.7,0.4,T6
65503,FaZe,18.4,18.4,8.6,4.0,0.8,20.8,64.8,-2.4,70.3,1.4,T1
65503,Cloud9,20.8,20.8,8.2,6.0,1.6,18.4,77.3,2.4,81.5,-1.4,T3
65504,FaZe,20.6,20.6,9.4,6.0,1.0,21.8,72.0,-1.2,77.1,1.6,T1
65504,Cloud9,21.6,21.6,8.2,6.2,1.4,20.6,72.7,1.0,78.8,-1.6,T3
65505,mousesports,18.2,18.2,8.4,3.6,0.2,14.8,72.8,3.4,77.7,1.4,T1
65505,NiP,14.8,14.8,7.6,2.0,0.0,18.2,64.0,-3.4,67.1,-1.4,T1
65506,mousesports,17.0,17.0,8.0,3.4,0.0,19.2,62.3,-2.2,77.8,0.0,T1
65506,NiP,19.2,19.2,8.0,3.8,0.4,17.0,75.4,2.2,77.5,0.0,T1
65507,mousesports,16.4,16.4,8.2,4.0,0.8,18.2,63.7,-1.8,69.1,-1.8,T1
65507,NiP,18.2,18.2,10.4,4.0,0.8,16.4,68.9,1.8,74.5,1.8,T1
65508,fnatic,12.0,12.0,5.4,2.8,1.0,18.6,60.0,-6.6,63.8,-0.2,T2
65508,Natus Vincere,18.6,18.6,8.0,4.6,0.8,12.2,77.4,6.4,85.7,0.2,T1
65509,fnatic,18.8,18.8,9.2,4.8,0.4,17.2,71.9,1.6,77.8,0.4,T2
65509,Natus Vincere,17.2,17.2,9.2,3.8,0.4,19.0,67.4,-1.8,76.9,-0.6,T1
65510,Spirit,21.4,21.4,12.0,5.6,1.6,20.0,72.0,1.4,77.9,-1.6,T4
65510,EPG,20.0,20.0,9.0,5.4,1.6,21.4,66.7,-1.4,72.5,1.6,T6
65511,fnatic,19.4,19.4,8.4,5.4,0.6,22.8,62.7,-3.4,76.4,-1.6,T2
65511,Natus Vincere,22.8,22.8,12.8,6.0,1.2,19.4,78.0,3.4,82.1,1.6,T1
65512,AVANGAR,20.4,20.4,10.6,5.4,0.6,13.4,80.9,7.0,91.1,1.8,T2
65512,eXtatus,13.4,13.4,5.4,3.4,0.4,20.4,56.5,-7.0,65.3,-1.8,T6
65514,EURONICS,17.0,17.0,6.4,2.4,0.8,18.8,62.3,-1.8,71.0,-1.0,T4
65514,fnatic Academy,18.8,18.8,8.4,3.8,1.2,17.0,68.9,1.8,74.8,1.0,T6
65515,Liquid,19.6,19.6,9.6,5.2,1.0,19.2,77.3,0.4,73.4,0.6,T1
65515,Astralis,19.2,19.2,7.6,4.2,1.0,19.6,68.7,-0.4,73.1,-0.6,T1
65516,k0pfsache,12.0,12.0,5.6,1.2,0.0,18.8,54.5,-6.8,63.6,-0.8,T6
65516,Epsilon,18.8,18.8,7.0,5.6,1.0,12.0,81.8,6.8,87.0,0.8,T4
65517,Liquid,10.0,10.0,4.0,3.4,1.0,14.6,61.0,-4.6,65.5,-1.8,T1
65517,Astralis,14.6,14.6,6.8,4.6,2.0,10.0,89.5,4.6,81.1,1.8,T1
65518,Liquid,8.6,8.6,4.4,3.4,1.2,17.6,52.6,-9.0,55.8,-2.2,T1
65518,Astralis,17.6,17.6,6.6,4.4,1.0,8.6,91.6,9.0,96.0,2.2,T1
65519,k0pfsache,7.8,7.8,4.6,1.6,0.2,18.2,42.0,-10.4,45.9,-2.4,T6
65519,Epsilon,18.2,18.2,7.0,4.4,1.2,7.8,90.0,10.4,91.9,2.4,T4
65520,AVANGAR,16.0,16.0,5.8,2.8,0.0,6.4,89.4,9.6,96.9,1.8,T2
65520,x6tence,6.4,6.4,3.6,1.2,0.6,16.0,47.0,-9.6,52.3,-1.8,T6
65521,AVANGAR,15.6,15.6,7.8,1.4,0.0,18.4,60.8,-2.8,71.1,-0.6,T2
65521,EURONICS,18.4,18.4,9.0,6.2,2.0,15.6,72.0,2.8,79.9,0.6,T4
65522,eXtatus,24.2,24.2,7.6,5.6,1.8,24.0,69.2,0.2,76.5,-0.2,T6
65522,Windigo,24.0,24.0,10.6,6.2,1.4,24.2,77.7,-0.2,75.1,0.2,T4
65524,eXtatus,8.0,8.0,2.6,2.8,0.4,15.0,62.2,-7.0,54.3,-2.0,T6
65524,Windigo,15.0,15.0,7.4,3.8,1.6,8.0,86.7,7.0,86.2,2.0,T4
65525,eXtatus,15.0,15.0,7.8,3.2,1.0,21.4,57.1,-6.4,62.3,-2.8,T6
65525,Windigo,21.4,21.4,10.6,6.0,2.6,15.0,81.5,6.4,84.6,2.8,T4
65526,TeamOne,20.8,20.8,8.2,3.8,0.4,21.8,64.0,-1.0,74.0,-1.2,T4
65526,eUnited,21.8,21.8,9.8,4.4,0.8,20.8,66.7,1.0,77.8,1.2,T4
65527,TeamOne,14.0,14.0,6.2,4.0,0.6,17.6,64.4,-3.6,70.6,-0.6,T4
65527,eUnited,17.6,17.6,7.8,3.8,1.2,14.0,75.7,3.6,81.6,0.6,T4
65528,Singularity,28.0,28.0,10.8,7.4,1.6,25.2,68.8,2.8,74.1,0.2,T4
65528,Izako Boars,25.2,25.2,11.8,6.6,1.4,28.0,64.4,-2.8,68.5,-0.2,T5
65531,TheMongolz,13.6,13.6,8.4,2.2,0.6,18.6,65.4,-5.0,69.4,-0.8,T6
65531,Tainted Minds,18.6,18.6,6.2,5.8,1.8,13.6,78.2,5.0,87.4,0.8,T4
65532,Grayhound,20.6,20.6,7.8,6.4,2.2,19.6,71.3,1.0,75.9,1.0,T4
65532,BOOT-d[S],19.6,19.6,10.0,4.0,0.6,20.8,69.3,-1.2,72.8,-1.2,T4
65533,eUnited,26.0,26.0,9.8,6.0,0.6,25.6,75.4,0.4,81.7,-0.6,T4
65533,Swole Patrol,25.6,25.6,12.0,5.0,1.4,26.0,69.7,-0.4,79.1,0.6,T4
65535,eUnited,22.4,22.4,9.6,4.0,0.4,18.8,74.5,3.6,82.2,0.0,T4
65535,Swole Patrol,18.8,18.8,7.6,5.4,1.0,22.6,66.2,-3.8,72.8,-0.2,T4
65536,Envy,20.6,20.6,9.4,5.0,1.0,20.8,70.7,-0.2,74.1,0.8,T4
65536,FaZe,20.8,20.8,7.8,5.0,0.6,20.6,72.0,0.2,73.5,-0.8,T1
65537,Envy,9.4,9.4,4.0,1.8,0.2,16.4,54.7,-7.0,60.6,-0.6,T4
65537,FaZe,16.4,16.4,7.8,4.0,0.8,9.4,83.2,7.0,88.4,0.6,T1
65538,Tainted Minds,21.4,21.4,9.0,6.6,2.0,18.8,77.9,2.6,83.8,1.6,T4
65538,BOOT-d[S],18.8,18.8,9.8,3.6,1.2,21.4,63.6,-2.6,75.6,-1.6,T4
65539,Tainted Minds,18.0,18.0,6.2,4.6,1.4,11.6,78.2,6.4,85.4,0.4,T4
65539,BOOT-d[S],11.6,11.6,3.6,2.4,0.6,18.0,57.3,-6.4,61.6,-0.4,T4
65540,SK,16.8,16.8,8.2,4.2,0.8,18.6,67.7,-1.8,72.6,1.2,T6
65540,mousesports,18.6,18.6,9.8,3.6,1.0,17.0,70.8,1.6,78.2,-1.2,T1
65541,SK,9.0,9.0,5.0,1.8,0.4,18.0,40.9,-9.0,54.7,-1.6,T6
65541,mousesports,18.0,18.0,8.0,2.6,0.8,9.0,80.0,9.0,86.0,1.6,T1
65542,Renegades,19.8,19.8,10.4,4.6,1.0,20.6,70.4,-0.8,75.8,-1.4,T2
65542,fnatic,20.6,20.6,8.2,5.0,1.8,19.8,69.0,0.8,77.3,1.4,T2
65543,Renegades,14.6,14.6,7.4,4.8,1.6,18.0,67.5,-3.4,70.5,0.4,T2
65543,fnatic,18.0,18.0,8.0,4.4,0.4,14.8,76.7,3.2,83.1,-0.4,T2
65544,Gambit,18.8,18.8,7.4,4.8,0.8,21.4,72.1,-2.6,74.0,-0.8,T3
65544,Liquid,21.4,21.4,9.4,4.6,0.8,18.8,75.7,2.6,78.7,0.8,T1
65545,Gambit,18.8,18.8,8.2,4.2,0.4,15.4,70.0,3.4,83.2,0.4,T3
65545,Liquid,15.4,15.4,7.6,2.4,0.8,18.8,60.8,-3.4,75.4,-0.4,T1
65546,EPG,16.8,16.8,7.4,4.8,1.6,18.6,71.5,-1.8,73.0,-0.4,T6
65546,GameAgents,18.6,18.6,6.2,5.0,1.4,16.8,74.6,1.8,79.4,0.4,T6
65548,TheMongolz,33.2,33.2,15.8,6.0,0.6,35.2,65.0,-2.0,75.6,-1.6,T6
65548,Grayhound,35.2,35.2,11.6,8.2,2.8,33.2,70.0,2.0,81.7,1.6,T4
65549,EPG,19.4,19.4,8.0,4.2,0.4,22.8,62.7,-3.4,70.3,-0.4,T6
65549,GameAgents,22.8,22.8,8.8,6.8,2.0,19.4,79.3,3.4,79.9,0.4,T6
65553,Gambit,21.0,21.0,8.6,4.2,0.6,20.0,70.0,1.0,76.6,0.4,T3
65553,Liquid,20.0,20.0,8.6,3.6,0.6,21.0,69.3,-1.0,75.5,-0.4,T1
65554,TheMongolz,12.0,12.0,5.8,2.0,0.2,18.2,55.7,-6.2,60.0,-1.4,T6
65554,Grayhound,18.2,18.2,7.2,4.8,1.0,12.0,78.3,6.2,84.4,1.4,T4
65555,BOOT-d[S],11.0,11.0,4.8,3.6,1.0,17.8,60.9,-6.8,58.9,-0.2,T4
65555,Grayhound,17.8,17.8,6.6,6.8,2.8,11.0,84.8,6.8,89.2,0.2,T4
65556,BOOT-d[S],14.6,14.6,8.8,3.2,0.6,19.8,65.8,-5.2,68.8,0.0,T4
65556,Grayhound,19.8,19.8,7.4,4.6,0.4,14.6,79.2,5.2,85.0,0.0,T4
65557,Invictus Aquilas,20.2,20.2,9.0,6.4,2.2,18.4,72.1,1.8,78.0,-0.8,T6
65558,5POWER,24.6,24.6,11.6,7.2,2.2,21.6,69.4,3.0,80.6,0.2,T4
