match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
74989, MIBR, fer, 24, 6, 7, 0, 20, 63.3, +4, 94.8, +4, 1.29
74989, MIBR, Stewie2K, 21, 9, 4, 0, 24, 70.0, -3, 88.9, +3, 1.08
74989, MIBR, FalleN, 19, 7, 5, 3, 18, 73.3, +1, 55.5, +3, 1.00
74989, MIBR, coldzera, 18, 7, 3, 0, 17, 63.3, +1, 65.5, -1, 0.97
74989, MIBR, tarik, 15, 8, 8, 2, 19, 70.0, -4, 64.4, -5, 0.89
74988, MIBR, FalleN, 20, 6, 4, 3, 11, 84.6, +9, 86.2, +5, 1.51
74988, MIBR, Stewie2K, 21, 15, 5, 2, 15, 80.8, +6, 96.7, +4, 1.40
74988, MIBR, coldzera, 23, 13, 5, 1, 14, 69.2, +9, 83.1, +1, 1.31
74988, MIBR, tarik, 20, 6, 4, 2, 15, 76.9, +5, 71.3, +3, 1.16
74988, MIBR, fer, 15, 7, 5, 1, 15, 73.1, 0, 63.0, -3, 0.99
74988, Liquid, TACO, 19, 11, 7, 4, 21, 69.2, -2, 82.5, +1, 1.12
74988, Liquid, Twistzz, 17, 9, 4, 2, 18, 57.7, -1, 65.9, -4, 0.92
74988, Liquid, nitr0, 16, 8, 3, 1, 22, 57.7, -6, 68.9, 0, 0.86
74988, Liquid, NAF, 9, 2, 2, 1, 18, 50.0, -9, 35.3, -1, 0.56
74988, Liquid, EliGE, 9, 5, 5, 1, 20, 50.0, -11, 61.2, -6, 0.53
74984, LiviD, MkaeL, 22, 10, 14, 1, 23, 79.4, -1, 88.4, -4, 1.20
74984, LiviD, miLLe, 26, 7, 7, 4, 23, 76.5, +3, 75.4, +1, 1.13
74984, LiviD, effys, 22, 10, 6, 2, 28, 67.6, -6, 72.9, +1, 0.97
74984, LiviD, KOLER, 22, 18, 3, 0, 28, 73.5, -6, 65.5, +2, 0.97
74984, LiviD, huynh, 22, 6, 3, 1, 25, 70.6, -3, 59.9, 0, 0.92
74984, Poutine Warriors, TenZ, 33, 18, 7, 1, 23, 88.2, +10, 95.1, +2, 1.48
74984, Poutine Warriors, cardiac, 27, 10, 8, 5, 14, 85.3, +13, 71.6, 0, 1.28
74984, Poutine Warriors, LILMAN, 27, 16, 3, 0, 28, 73.5, -1, 86.4, +1, 1.17
74984, Poutine Warriors, djay, 22, 11, 11, 3, 26, 82.4, -4, 78.4, -3, 1.07
74984, Poutine Warriors, hades, 18, 4, 10, 0, 23, 67.6, -5, 65.5, 0, 0.93
74986, LiviD, KOLER, 22, 12, 3, 1, 10, 76.2, +12, 90.1, +2, 1.56
74986, LiviD, miLLe, 19, 7, 2, 0, 11, 76.2, +8, 87.2, +4, 1.50
74986, LiviD, MkaeL, 19, 4, 4, 1, 15, 90.5, +4, 104.8, +2, 1.49
74986, LiviD, huynh, 16, 5, 6, 3, 12, 85.7, +4, 86.4, 0, 1.31
74986, LiviD, effys, 15, 10, 3, 0, 11, 90.5, +4, 78.9, +1, 1.29
74986, Poutine Warriors, TenZ, 17, 10, 4, 0, 16, 71.4, +1, 94.5, -1, 1.18
74986, Poutine Warriors, LILMAN, 11, 7, 2, 0, 19, 52.4, -8, 61.0, -4, 0.69
74986, Poutine Warriors, djay, 12, 5, 2, 1, 19, 42.9, -7, 52.7, +1, 0.65
74986, Poutine Warriors, hades, 10, 7, 3, 2, 19, 57.1, -9, 64.9, -2, 0.61
74986, Poutine Warriors, cardiac, 8, 4, 3, 0, 18, 47.6, -10, 40.2, -3, 0.40
74987, LiviD, effys, 22, 12, 4, 1, 7, 87.0, +15, 88.4, +1, 1.54
74987, LiviD, MkaeL, 20, 12, 6, 0, 15, 82.6, +5, 92.5, +4, 1.44
74987, LiviD, KOLER, 17, 10, 3, 0, 10, 87.0, +7, 77.4, +1, 1.37
74987, LiviD, huynh, 18, 8, 5, 3, 10, 82.6, +8, 79.3, +1, 1.35
74987, LiviD, miLLe, 16, 4, 3, 2, 10, 65.2, +6, 71.2, +2, 1.24
74987, Poutine Warriors, TenZ, 17, 13, 4, 0, 19, 60.9, -2, 105.5, +1, 1.13
74987, Poutine Warriors, cardiac, 15, 5, 0, 0, 18, 56.5, -3, 66.4, +1, 0.85
74987, Poutine Warriors, djay, 6, 4, 3, 3, 16, 43.5, -10, 25.7, -1, 0.51
74987, Poutine Warriors, LILMAN, 8, 7, 4, 0, 20, 56.5, -12, 53.0, -3, 0.50
74987, Poutine Warriors, hades, 5, 3, 1, 0, 20, 43.5, -15, 30.8, -7, 0.42
74975, up north, SEMPHIS, 10, 5, 1, 0, 17, 41.2, -7, 72.6, +1, 0.69
74975, up north, DAVEY, 9, 4, 2, 0, 16, 58.8, -7, 63.4, +1, 0.68
