match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
76324, x6tence Galaxy, nawwk, 19, 4, 1, 17, 0.72, 2, 72.9, 2, 1.14
76324, x6tence Galaxy, ZINKEN, 20, 9, 1, 21, 0.72, -1, 79.4, -1, 1.02
76324, x6tence Galaxy, Plopski, 18, 6, 0, 20, 0.59, -2, 70.1, -2, 0.99
76324, x6tence Galaxy, BARBARR, 18, 5, 0, 20, 0.48, -2, 53.4, -2, 0.83
76314, Liquid, NAF, 20, 3, 0, 15, 0.72, 5, 87.4, 5, 1.15
76314, Liquid, Twistzz, 18, 6, 2, 18, 0.68, 0, 84.5, 0, 1.12
76314, Liquid, TACO, 16, 3, 0, 18, 0.68, -2, 72.0, -2, 1.04
76314, Liquid, nitr0, 12, 4, 1, 18, 0.8, -6, 53.6, -6, 0.89
76314, Liquid, EliGE, 13, 3, 0, 16, 0.76, -3, 64.9, -3, 0.86
76314, FaZe, karrigan, 21, 5, 2, 17, 0.76, 4, 84.5, 4, 1.27
76314, FaZe, rain, 19, 4, 0, 17, 0.76, 2, 78.0, 2, 1.15
76314, FaZe, olofmeister, 15, 6, 2, 14, 0.76, 1, 70.0, 1, 1.04
76314, FaZe, NiKo, 17, 3, 0, 16, 0.64, 1, 70.2, 1, 0.99
76314, FaZe, GuardiaN, 13, 4, 2, 15, 0.6, -2, 54.6, -2, 0.93
76323, Liquid, EliGE, 20, 2, 1, 19, 0.68, 1, 64.9, 1, 1.01
76323, Liquid, Twistzz, 17, 7, 3, 20, 0.68, -3, 63.7, -3, 1.01
76323, Liquid, NAF, 17, 4, 0, 20, 0.61, -3, 71.8, -3, 0.96
76323, Liquid, TACO, 17, 1, 0, 21, 0.57, -4, 71.0, -4, 0.86
76323, Liquid, nitr0, 10, 7, 4, 23, 0.61, -13, 52.3, -13, 0.64
76323, FaZe, GuardiaN, 26, 5, 5, 13, 0.79, 13, 86.9, 13, 1.56
76323, FaZe, karrigan, 22, 7, 2, 16, 0.82, 6, 91.9, 6, 1.37
76323, FaZe, NiKo, 26, 5, 1, 19, 0.75, 7, 95.0, 7, 1.26
76323, FaZe, rain, 16, 5, 0, 17, 0.75, -1, 62.0, -1, 1.03
76323, FaZe, olofmeister, 13, 5, 0, 16, 0.82, -3, 53.7, -3, 0.94
76307, ex-Space Soldiers, MAJ3R, 25, 2, 1, 17, 0.7, 8, 85.8, 8, 1.38
76307, ex-Space Soldiers, XANTARES, 21, 5, 1, 18, 0.74, 3, 86.9, 3, 1.24
76307, ex-Space Soldiers, paz, 14, 2, 0, 20, 0.59, -6, 64.8, -6, 0.82
76307, ex-Space Soldiers, Calyx, 10, 6, 2, 23, 0.52, -13, 53.8, -13, 0.52
76307, ex-Space Soldiers, ngiN, 9, 5, 1, 22, 0.56, -13, 39.6, -13, 0.51
76307, Syman, SANJI, 30, 3, 1, 14, 0.93, 16, 87.1, 16, 1.66
76307, Syman, t0rick, 19, 4, 0, 14, 0.78, 5, 86.8, 5, 1.24
76307, Syman, Perfecto, 19, 3, 0, 15, 0.93, 4, 84.9, 4, 1.23
76307, Syman, neaLaN, 18, 4, 1, 20, 0.78, -2, 72.3, -2, 1.01
76307, Syman, iDISBALANCE, 14, 1, 1, 16, 0.7, -2, 55.2, -2, 0.96
76321, ex-Space Soldiers, MAJ3R, 27, 8, 2, 24, 0.8, 3, 91.7, 3, 1.25
76321, ex-Space Soldiers, XANTARES, 29, 4, 0, 24, 0.69, 5, 89.8, 5, 1.20
76321, ex-Space Soldiers, ngiN, 26, 7, 3, 21, 0.74, 5, 76.1, 5, 1.17
76321, ex-Space Soldiers, paz, 18, 6, 1, 24, 0.6, -6, 62.3, -6, 0.82
76321, ex-Space Soldiers, Calyx, 16, 4, 0, 27, 0.69, -11, 53.0, -11, 0.72
76321, Syman, iDISBALANCE, 32, 5, 0, 23, 0.69, 9, 92.9, 9, 1.31
76321, Syman, Perfecto, 25, 8, 1, 22, 0.77, 3, 84.8, 3, 1.19
76321, Syman, t0rick, 21, 5, 4, 20, 0.69, 1, 57.8, 1, 0.97
76321, Syman, neaLaN, 20, 7, 0, 25, 0.66, -5, 69.3, -5, 0.93
76321, Syman, SANJI, 21, 7, 1, 26, 0.63, -5, 71.6, -5, 0.92
76308, Brute, capseN, 40, 4, 1, 34, 0.77, 6, 88.1, 6, 1.24
76308, Brute, MAXX., 37, 6, 0, 32, 0.75, 5, 82.3, 5, 1.23
76308, Brute, daxen, 35, 11, 3, 40, 0.73, -5, 82.0, -5, 1.04
76308, Brute, kinzo, 36, 6, 2, 33, 0.73, 3, 68.5, 3, 1.00
76308, Brute, leckr, 31, 10, 2, 40, 0.69, -9, 77.7, -9, 0.92
76308, eSuba, Fraged, 45, 9, 1, 37, 0.73, 8, 89.4, 8, 1.28
76308, eSuba, ZEDKO, 39, 7, 0, 35, 0.71, 4, 86.0, 4, 1.23
76308, eSuba, Pechyn, 42, 8, 1, 35, 0.77, 7, 99.8, 7, 1.20
76308, eSuba, HenkkyG, 32, 9, 1, 35, 0.79, -3, 66.0, -3, 0.95
76308, eSuba, SHOCK, 21, 10, 0, 37, 0.73, -16, 58.9, -16, 0.74
76317, Brute, daxen, 22, 4, 1, 13, 0.7, 9, 98.4, 9, 1.48
76317, Brute, MAXX., 23, 3, 0, 14, 0.78, 9, 102.7, 9, 1.44
76317, Brute, kinzo, 18, 7, 1, 13, 0.83, 5, 92.0, 5, 1.32
76317, Brute, capseN, 18, 1, 0, 13, 0.87, 5, 80.5, 5, 1.28
76317, Brute, leckr, 13, 2, 0, 16, 0.83, -3, 58.9, -3, 0.97
76317, eSuba, Pechyn, 21, 5, 1, 18, 0.74, 3, 105.8, 3, 1.30
76317, eSuba, Fraged, 14, 5, 2, 17, 0.7, -3, 59.8, -3, 0.88
76317, eSuba, HenkkyG, 10, 4, 0, 20, 0.78, -10, 56.0, -10, 0.85
76317, eSuba, ZEDKO, 13, 3, 0, 19, 0.52, -6, 61.1, -6, 0.83
76317, eSuba, SHOCK, 11, 4, 0, 20, 0.74, -9, 43.8, -9, 0.72
76305, GUNRUNNERS, The eLiVe, 25, 2, 0, 16, 0.81, 9, 95.1, 9, 1.53
76305, GUNRUNNERS, frozen, 19, 14, 5, 14, 0.81, 5, 82.2, 5, 1.29
76305, GUNRUNNERS, queztone, 24, 10, 3, 18, 0.78, 6, 93.3, 6, 1.27
76305, GUNRUNNERS, fredi, 20, 6, 3, 15, 0.81, 5, 69.6, 5, 1.19
76305, GUNRUNNERS, DEV7L, 17, 10, 3, 20, 0.67, -3, 82.3, -3, 1.05
76305, VENI VIDI VICI, AJTT, 23, 4, 0, 19, 0.74, 4, 88.7, 4, 1.18
76305, VENI VIDI VICI, uZman, 15, 6, 0, 22, 0.56, -7, 80.5, -7, 0.92
76305, VENI VIDI VICI, Thieff, 17, 4, 0, 20, 0.56, -3, 61.5, -3, 0.86
76305, VENI VIDI VICI, teCkoO, 14, 0, 0, 20, 0.48, -6, 57.6, -6, 0.71
76305, VENI VIDI VICI, garzeN, 14, 0, 0, 24, 0.52, -10, 53.9, -10, 0.66
76315, GUNRUNNERS, frozen, 27, 3, 0, 11, 0.92, 16, 104.3, 16, 1.93
76315, GUNRUNNERS, fredi, 23, 4, 0, 15, 0.88, 8, 89.8, 8, 1.59
76315, GUNRUNNERS, The eLiVe, 23, 8, 1, 18, 0.83, 5, 111.9, 5, 1.51
76315, GUNRUNNERS, queztone, 13, 6, 2, 13, 0.71, 0, 69.3, 0, 1.01
76315, GUNRUNNERS, DEV7L, 11, 5, 0, 17, 0.67, -6, 44.7, -6, 0.76
76315, VENI VIDI VICI, AJTT, 19, 6, 2, 20, 0.83, -1, 88.8, -1, 1.04
76315, VENI VIDI VICI, uZman, 18, 4, 0, 20, 0.62, -2, 90.5, -2, 0.95
76315, VENI VIDI VICI, garzeN, 14, 4, 1, 21, 0.83, -7, 68.7, -7, 0.91
76315, VENI VIDI VICI, teCkoO, 12, 3, 2, 19, 0.67, -7, 48.9, -7, 0.67
76315, VENI VIDI VICI, Thieff, 11, 1, 0, 17, 0.54, -6, 47.0, -6, 0.60
76300, 2ez, BaDMaN, 26, 5, 0, 21, 0.83, 5, 91.9, 5, 1.40
76300, 2ez, Recoilmaster, 25, 11, 6, 15, 0.7, 10, 80.0, 10, 1.34
76300, 2ez, Rex, 25, 10, 0, 22, 0.8, 3, 97.2, 3, 1.25
76300, 2ez, PoKI, 19, 6, 0, 19, 0.7, 0, 74.5, 0, 1.12
76300, 2ez, t1to, 21, 2, 0, 17, 0.83, 4, 58.5, 4, 1.09
76300, Slaughter Rage Army, The_Guru, 26, 2, 0, 26, 0.63, 0, 89.5, 0, 1.12
76300, Slaughter Rage Army, DreaM, 19, 4, 0, 20, 0.67, -1, 68.5, -1, 1.03
76300, Slaughter Rage Army, Negative, 19, 6, 0, 22, 0.57, -3, 68.3, -3, 0.93
76300, Slaughter Rage Army, MaChO, 17, 2, 0, 23, 0.6, -6, 65.8, -6, 0.91
76300, Slaughter Rage Army, aFlekX, 13, 5, 1, 25, 0.53, -12, 57.1, -12, 0.64
76304, 2ez, Rex, 25, 6, 0, 17, 0.78, 8, 90.0, 8, 1.49
