match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
77556, Ghost, koosta, 14, 4, 2, 18, 0.704, -4, 65.9, -4, 0.91
77556, Ghost, Subroza, 12, 4, 0, 20, 0.481, -8, 61.6, -8, 0.67
77556, Liquid, nitr0, 22, 6, 4, 16, 0.704, 6, 92.0, 6, 1.31
77556, Liquid, TACO, 21, 3, 0, 19, 0.63, 2, 83.2, 2, 1.16
77556, Liquid, EliGE, 19, 4, 0, 19, 0.63, 0, 88.1, 0, 1.09
77556, Liquid, NAF, 16, 8, 6, 16, 0.741, 0, 67.6, 0, 0.97
77556, Liquid, Twistzz, 9, 4, 2, 17, 0.593, -8, 36.8, -8, 0.62
77555, Renegades, jkaem, 19, 8, 1, 19, 0.793, 0, 75.3, 0, 1.16
77555, Renegades, liazz, 21, 3, 0, 20, 0.759, 1, 70.0, 1, 1.02
77555, Renegades, AZR, 19, 6, 4, 21, 0.621, -2, 76.8, -2, 0.97
77555, Renegades, jks, 17, 6, 5, 21, 0.483, -4, 64.3, -4, 0.88
77555, Renegades, Gratisfaction, 16, 4, 2, 21, 0.724, -5, 65.1, -5, 0.88
77555, Envy, reltuC, 25, 6, 1, 19, 0.69, 6, 91.8, 6, 1.32
77555, Envy, jdm64, 24, 2, 2, 17, 0.69, 7, 81.3, 7, 1.26
77555, Envy, Pollo, 21, 5, 1, 18, 0.724, 3, 82.4, 3, 1.15
77555, Envy, Drone, 18, 4, 0, 21, 0.69, -3, 78.0, -3, 1.02
77555, Envy, Nifty, 14, 5, 3, 17, 0.586, -3, 47.8, -3, 0.79
77547, Liquid, nitr0, 26, 3, 1, 17, 0.857, 9, 86.9, 9, 1.49
77547, Liquid, NAF, 21, 8, 1, 15, 0.714, 6, 92.0, 6, 1.38
77547, Liquid, Twistzz, 20, 5, 2, 18, 0.893, 2, 79.6, 2, 1.27
77547, Liquid, EliGE, 19, 11, 5, 19, 0.857, 0, 90.1, 0, 1.18
77547, Liquid, TACO, 17, 2, 1, 15, 0.643, 2, 54.5, 2, 0.92
77547, Ghost, koosta, 24, 7, 4, 20, 0.679, 4, 92.0, 4, 1.30
77547, Ghost, steel, 18, 4, 2, 21, 0.786, -3, 68.9, -3, 1.03
77547, Ghost, WARDELL, 16, 2, 1, 18, 0.679, -2, 62.1, -2, 0.90
77547, Ghost, Subroza, 15, 5, 0, 22, 0.607, -7, 66.2, -7, 0.79
77547, Ghost, neptune, 11, 6, 2, 22, 0.607, -11, 60.5, -11, 0.66
77546, INTZ, felps, 28, 2, 0, 17, 0.786, 11, 105.7, 11, 1.55
77546, INTZ, chelo, 22, 4, 2, 14, 0.929, 8, 89.3, 8, 1.39
77546, INTZ, xand, 20, 9, 1, 19, 0.643, 1, 92.6, 1, 1.17
77546, INTZ, kNgV-, 18, 2, 2, 15, 0.714, 3, 61.7, 3, 1.03
77546, INTZ, horvy, 13, 8, 7, 15, 0.714, -2, 46.1, -2, 0.84
77546, Rogue, vice, 18, 2, 1, 17, 0.679, 1, 73.4, 1, 1.12
77546, Rogue, Hiko, 18, 5, 1, 19, 0.643, -1, 76.4, -1, 1.04
77546, Rogue, SicK, 17, 3, 1, 22, 0.607, -5, 61.6, -5, 0.85
77546, Rogue, MSL, 18, 3, 2, 22, 0.571, -4, 51.2, -4, 0.83
77546, Rogue, Rickeh, 9, 12, 5, 21, 0.643, -12, 53.9, -12, 0.68
77545, Envy, reltuC, 24, 7, 0, 10, 1.0, 14, 117.1, 14, 1.88
77545, Envy, Nifty, 23, 8, 3, 11, 0.818, 12, 103.9, 12, 1.64
77545, Envy, Drone, 18, 4, 1, 13, 0.909, 5, 89.6, 5, 1.35
77545, Envy, Pollo, 20, 1, 0, 12, 0.955, 8, 77.8, 8, 1.33
77545, Envy, jdm64, 13, 5, 2, 11, 0.864, 2, 61.6, 2, 1.10
